"appln_id";"appln_title";"appln_abstract";"AI.patent."
61574;"method and apparatus for call categorization";"a method and apparatus for automated categorization of an interaction between a member of an organization and a second party. the method comprises defining one or more criteria and one or more categories, wherein each category relates to a combination of one or more criteria. the criteria involve data extracted from the interactions as well as external data. each interaction is checked against the criteria, and is then assigned to one or more categories according to the met criteria. an optional evaluation of the categorization step, and improvement of the categorization if the evaluation results fall below a threshold are disclosed.";"Yes"
179491;"method and apparatus for controlling a display in an electronic device";"a method and apparatus for presenting information is provided. in an embodiment, an electronic device with wireless telephony features is provided. an embodiment comprises a flexible dialog box tailored to the resources limitations of electronic devices.";"No"
222045;"method and device for updating non-volatile memory items on a wireless device by checking and comparing a unique identifier item stored in said memory with a software identifier";"a method and apparatus of dynamically managing non-volatile memory items on a wireless device through a network, the method comprising the steps of: when connecting to said network, checking for a unique identifier item stored in said non-volatile memory items (14), if said unique identifier item exists, checking whether a value stored in said unique identifier is the same as a software identifier located in software on said wireless device (16), if said unique identifier item does not exist or said value is different from said software identifier, sending said software identifier along with an identifier indicating a carrier to said network along with an identifier indicating a carrier (20); receiving from said network a set of changes related to said software identifier; executing said of changes to update said non-volatile memory items (26); and writing said software identifier to said unique identifier item (28). in an embodiment, a new item is created instead of replacing an existing item to facilitate rollback to the existing item. <image>";"Yes"
25970;"method and device for the implementation of a communication protocol in a control unit, especially for vehicular applications";"a method and device for the implementation of a communication protocol in an independent control unit comprising: \n Æ½ƒ??ƒªÆ?ƒ½ a first procedure, using a graphical interface, of importation of the information contained in the messages exchanged in a communication network to which the control unit has to be connected; \n Æ½ƒ??ƒªÆ?ƒ½ a second procedure of configuration of the activities to be carried out on the communication messages; \n Æ½ƒ??ƒªÆ?ƒ½ a third procedure of automatic generation of a model equivalent to a message to be transmitted of to be received, following the previous operations.";"No"
4537868;"method and knowledge-based system for diagnosis in biological treatment of waste water";"a method and knowledge-based system for generating a holistic health index for diagnosis and decision support in operational management of biological treatment of waste water with a microbial population; measured parameters of an operating biological treatment employing a microbial population are compared with benchmark values in a data base to generate a comparison value and a holistic health index of the operating microbial population is generated from the comparison values which provide an evaluation of the operational management of the biological treatment. based on such evaluation the operating parameters of the treatment may be adjusted to maintain the treatment at an optimum level.";"Yes"
53257;"system and method for dynamic configuration of scanning engine";"a method and system for facilitating targeted mobile advertisement , the system having: a mobile device having: a communication subsystem adapted to send and receive data; at least one application adapted to consume data, create data or consume and create data; a scan engine registered with the at least one application, the scan engine adapted to scan data consumed or created by the application, the scan engine further adapted to provide an ad trigger alert; and a configuration module within the scan module the configuration module adapted to store keywords, rules or keywords and rules; a mobile advertising server, the mobile advertising server adapted to receive ad trigger alerts from the scan engine; and an advertising content provider, the advertising content provider registering with the mobile advertising server and providing advertising content, wherein, the configuration module is adapted to dynamically be configured based on the information from advertising content provider.";"Yes"
6117;"palette-based color selection within a user interface theme";"a method and system for generating one or more theme files to enable a device to customize colors in a user interface by using a palette to define said colors. the palette includes variable strings that have color values assigned to them. the strings are referred to in style sheets where color attributes are specified, such that colors can be redefined in the palette rather than in the style sheet.";"No"
4327807;"mobile user position locating system";"a method and system for locating a mobile user of one or more mobile users while on a call in a wireless telecommunication network utilizes a decision network that determines if the call signal is propagating through a repeater station. when the call is propagating through a repeater station, the decision network alters the signal measurement parameters to correspond with the location of the mobile user relative to the repeater station co-ordinates. by revising signal measurement parameters to compensate for repeater stations, the present invention provides for improved position estimates of the location of the mobile user in the network. for multiple cell soft handoff conditions, the decision network utilizes trained neural networks.";"Yes"
4494941;"method and apparatus for automatically and reproducibly rating the transmission quality of a speech transmission system";"a method for automatically and reproducibly rating the transmission quality of a speech transmission system, comprising the steps of: generating a test signal containing a predetermined recorded voice signal; transmitting the test signal by the speech transmission system from a transmitting end to a receiving end; extracting characteristic values from the received test signal; determining a differential pattern corresponding to the difference between the characteristic values and predetermined reference values; and feeding the differential pattern to a neural network that has been trained for classifying patterns according to a number of predetermined transmission quality classes.";"Yes"
42959;"a method for creating an optimal cutting plan for a strip-like material";"a method for creating a cutting plan for a strip-like material for maximizing a quality yield of the process is invented. in the method a cutting plan for a strip-like material is made based on end-product data, and the strip-like material is driven at a production speed in a manufacturing machine or in a finishing machine, and strip length data is recorded. a chart of the strip-like material characteristics is generated and stored in a memory. the recorded strip length data and the chart of the strip-like material characteristics is calibrated with calibration data in a winding process, and during a set change in the winding process the cutting plan for the strip-like material is optimized for maximizing a quality yield of the process based on the end-product data and the calibrated chart of the strip-like material characteristics, and a revised cutting plan is created from the optimization result.";"Yes"
6557611;"method for setting up fuzzy-neural network expert's system for evaluating sensory qualities of cigarette";"a method for creating a fuzzy-neural network expert system for evaluating the sensing quality of cigarettes includes classifying the cigarettes by experts while providing typical data, training the pointed neura network with said typical data as sample, creating neural networks relative to different classes, configuring artificial neural network (ann) library, and managing it with particular program.";"Yes"
145805;"method for customizing the visual attributes of a user interface";"a method for customizing a complex field in a user interface, wherein the complex field has a predefined set of visual attributes to govern the appearance of graphic elements in the complex field, including text. the method operates in the context of a rendering operation and includes storing a current graphics context for the field, applying a new visual attribute to a region of the field, outputting graphics to the region governed by the new visual attribute, and restoring the graphics context for the remainder of the field. the visual attributes are theme-able attributes that may be specified in theme-attribute sets for implementing the user interface in accordance with a specific visual theme.";"No"
273355;"method for detecting a biochemical interaction";"a method for detecting a biochemical interaction between at least two interaction partners, comprising the steps of bringing into contact the at least, two interaction partners, taking a temporal sequence of measurements, each of them producing a measurement value describing the state of the interaction at a given point in time, adapting a mathematical model to the temporal sequence of measurements, whereby the model contains at least one first parameter characterising a temporal phase of increasing measurement values and at least one second parameter characterising a temporal phase of decreasing measurement values, and detecting the biochemical interaction by evaluating the first and second parameter.";"Yes"
4821294;"method for estimating an optimal dosage of bleaching agent to be mixed with wood chips";"a method for estimating an optimal dosage of bleaching agent to be mixed wi th wood chips to be fed to a process for producing pulp characterized by a required brightness value. according to a set of wood chip properties characterizing the wood chips as estimated by a measurement system, corresponding wood chip properties data are fed at the inputs of a neural network 12, as well as an initial dosage value of the bleaching agent. the neural network generates a predicte d brightness value for pulp to produce from the inspected wood chips. te brightness predicted value is compared with the required brightness value to generate error data, which is used to optimize the bleaching agent dosage value by minimizi ng the error data. prediction, comparison and optimization steps are repeated with the optimized bleaching agent dosage value until the brightness predicted value substantially reaches the required brightness value, to estimate the optimal bleaching agent dosage.";"Yes"
179424;"method and system for extending scripting languages";"a method for extending a script language in a runtime environment of a data processing system to support an application, the runtime environment having a script language interpreter, the method comprising: subclassing a predetermined object defined by the script language to create a subclassed object, the predetermined object having an original method, the subclassed object having a respective replacement method for supporting the application; dynamically registering a symbol corresponding to the subclassed object; detecting the subclassed object in the application with the script language interpreter; and, executing the replacement method with the script language interpreter.";"No"
4884672;"artificial neural network guessing method and game";"a method for guessing, in an electronic game, an object that a user is thinking of, from a set of target objects, after asking the user at least one question, t he method utilizing a neural network structured in a target objects-by-question s matrix format, wherein each cell of the matrix defines an input-output connection weight, and the neural network can be utilized in a first mode, whereby answers to asked questions are input nodes and the target objects are output nodes, and in a second mode, whereby the target objects are input nodes and the questio ns are output nodes, the method comprising the steps of ranking the target objects by utilizing the neural network in the first mode; ranking the questions by utilizing the neural network in the second mode; and providing a guess in accordance with the ranking of the target objects.";"Yes"
7687531;"method for measuring contents of components in oil residue";"a method for measuring the contents of components in oil residue features that an optical spectrum array is created with the second-order differentiation of near infrared absorption spectra of the representative oil residue specimens, they are clustered by fuzzy k-average value of the characteristic variables that is the analyzed score of main component. the second-order differentiation of near infrared absorption spectra of the correcting set composed of each oil residue after clustered and the basic data measured by elution chromatography take part in regression analysis to create correct model, the main component of the second-order differentiation of near infrared absorption spectrum of unknown oil residue is analyzed for determining its type, and the contents of the main components can be calculated by the correct model. its advantages include high correctness and speed, and environmental friend.";"Yes"
7687526;"method for measuring contents of components in oil residue";"a method for measuring the contents of components in oil residue features that an optical spectrum array is created with the ultraviolet-visual absorption spectra obtained by concentration normalization of representative oil residue specimens, they are clustered by fuzzy k-average value of the charncteristic variables that is the analyzed score of main component, the ultraviolet-visual absorptionspectra of the correcting set composed of each oil residue types after clustered and the basic data measured by elution chromatography take part of regression analysis to create correct model, the main components of unknown oil residue is analyzed for its ultraviolet-visual absorption spectrum to determine its type, and the contents of its main components can be calculated by the correct model. its avantages are high correctness and high speed.";"Yes"
368998;"method and device for processing data and system comprising the device";"a method for processing data is provided in which a user is provided with a context-based entry possibility for processing a task and in which with the selection of the task the task is started or loaded in a current processing state. furthermore, an associated device and a system with such a device are specified.";"No"
8093822;"high performance simulation method and system of quantum wire";"a method for simulating quantum circuit in high efficiency way applies high efficiency of calculation mode utilizing kronecker product to carry out large-scale high efficiency simulation on quantum circuit and simultaneously to carry out high efficiency simulation on quantum control gate by estimating position of object quantum element in quantum control gate and by picking up object quantum element in quantum control gate.";"Yes"
25929;"method and system for supporting a decision-making process";"a method for supporting a decision-making process in a time critical scenario managed by a distributed workflow consisting of a plurality of distributed nodes, the method comprising: \n - assessing a given situation with available information to establish confidence percentages for possible decisions associated with the given situation and the distributed workflow; \n - creating and providing a distributed workflow architecture that allows the distributed workflow to use the confidence percentages to enable a decision maker to get knowledge of a best possible course of action when executing the distributed workflow, \n wherein fuzzy logic is used to compute and maintain the confidence percentages for the possible decisions based on the available information. furthermore, an appropriate workflow management system is proposed.";"Yes"
53265;"a dual surrogate memetic framework for single/multi-objective evolutionary optimization of computatoinally expensive problems";"a method for the optimization of real-world objects in terms of physical parameters comprises the steps: \n - creating an offspring population (p o ) by applying an evolutionary operator to a parental population (p c ), wherein the populations (p 0 , p 1 ) comprise individuals representing a real-world object to be optimized in terms of its physical parameters; \n - performing local refinements on at least one individual of the offspring population (p o ); \n - selecting a new parental population (p c ) from a selection pool (p s ) by using a fitness function, the fitness function using physical parameters for assessing the fitness; \n - repeating the above steps until a predetermined termination criterion is met; and \n - outputting the optimized individual as a representation of an optimized real-world object. the method may be applied in all forms of design or search problems that contain computationally expensive functions, simulator or analysis code, such as drug design, material design, rainfall prediction, aerospace design, aircraft design, aerodynamic design, structural design, electromagnetic design, physics-based modelling and etc.";"Yes"
179434;"method for upgrading application data according to a new application definition";"a method is disclosed for upgrading preexisting application data according to a new application definition, the method comprises parsing the preexisting application data to provide parsed preexisting application data and converting the parsed preexisting application data according to the new application definition to thereby provide application data compliant with the new application definition.";"No"
209263;"modelling tool for chemical processes";"a method of amending an interaction complex (12) in a computer displayed graphical model (7) of a biochemical process, said graphical model corresponding to a mathematical representation (6) in which said interaction complex (12) is associated with a flow rate (r) between at least two entity variables (s1, p2) in the process. the method comprises receiving input from a user indicating an amendment of the interaction complex by addition or removal of an interaction object (18) to/from the interaction complex, graphically connecting/disconnecting a terminal point (20) of the interaction object and displaying an updated interaction complex, and, in the mathematical representation (6), associating the updated interaction complex (12) with one single flow rate (r), dependent on the entity variables (s1, p1, s2) now present in the interaction complex. <image>";"No"
4513621;"method of predicting residual chlorine in water supply systems";"a method of configuring an artificial neural network for predicting residual chlorine concentration in water contained in a storage tank of a water supply system, the storage tank having an inlet for admitting water into the tank and an outlet for discharging water from the tank. the method of the invention comprises the steps of (a) collecting historical data representative of selected operational and water quality parameters associated with chlorine demand in the tank; (b) scaling the data collected in step (a); (c) organizing the data scaled in step (b) in the form of a set of time-lagged data; and (d) processing the data organized in step (c) through an artificial neural network having a plurality of nodes arranged to define an input layer, an output layer and at least one hidden layer therebetween, by scanning a window over the set of data, the window having a size corresponding to a sub-set of the data, to associate a predicted value with a respective one of the sub-sets scanned by the window, the predicted value being representative of the residual chlorine concentration at the tank outlet. step (d) is repeated while varying the size of the window and the number of nodes of the at least one hidden layer so as to optimize the predicted value. the artificial neural network is thus configured to recognize a set of data processed therethrough as corresponding substantially to one of the sub-sets of data and to associate with the recognized set of data the optimized predicted value associated with the subset of data.";"Yes"
345003;"system and method for contextual localization of a web site";"a method of converting the content of a web object from a first language to a second language comprising the steps of: \n -building a database by: \n - splitting the content into one or more elements, the or each of which represent a word or symbol in the content; \n - allocating a reference to each element; \n - translating each element into a second language element; \n - customising the second language element to make changes thereto if the second language element does not meet user expectations thereby forming a customised element; and \n - storing, in the database, the or each element with its respective reference and either the customised element if this exists or if not the second language element; \n - converting the or each element from the first language to the second language by: \n - looking up the reference of each element in the database; \n - if the reference is stored in the database selecting the customised element if this exist or if not the second language element thereby avoiding the steps of translating and customising for subsequent uses of the same element; and \n - if the reference does not exist in the database carrying out the allocating, translating, customising and storing steps to convert the element from the first language to the second language.";"No"
381896;"decoding entropy-encoded data using dynamic program generation";"a method of decoding a data stream that is encoded with a set of prefix codes begins by receiving the data stream at a computing device, and then compiling native machine code from the prefix code set for execution by a processing unit of the computing device. the machine code implements a binary tree of prefix codes that corresponds to the prefix code set. the data stream is decoded by traversing the prefix code tree, which is effected by executing the machine code with the processing unit. the method can be applied to the generation of a huffman decoder for a given huffman table, as it appears for example in compressed image data, such as jfif and jpeg.";"No"
348784;"system and method for sharing a calendar over multiple geo-political regions";"a method of displaying a computerized calendar according to different geo-political regions that takes into account time differences between the geo-political regions, wherein the time differences include differences in start date and end date of implementing daylight saving time in the geo-political region, and differences in the time zone of the geo-political region; and displaying the transformed display.";"No"
116445;"displaying messages on handheld devices";"a method of displaying messages on handheld devices (10). the device (10) displays messages in a scrollable viewport (74) of vertically arranged fields (76). date separators (80) inserted into the vertically arranged list of messages to enable the user to associate the messages with a date. each message has an associated date with a group of messages associated with a same associated date comprising a first associated message and other associated messages. the viewport is divided into a plurality of fields (76) arranged in a vertical list having a topmost field (76a) and a second field (76b), the second field (76b) being immediately below the topmost field (76a) in the vertical list, wherein the number of messages exceeds the capacity of the scrollable viewport (74) to display all of the messages at one time. the method comprises the steps of: identifying one of said other associated messages for display in the second field (76b); displaying a date separator item (80) in said topmost field (76a), wherein said date separator item (80) is based upon said same associated date of said one of said other associated messages; receiving a scroll command; identifying a next message for display in the second field (76b) after scrolling is applied and determining whether the next message is associated with the same associated date as the date separator item (80), and if so, maintaining display of the date separator item (80) in the topmost field (76a), and if not, displaying a new date separator item (80) in said topmost field (76a), wherein said new date separator item (80) is based upon a date associated with said next message..";"No"
179453;"displaying messages on handheld devices";"a method of displaying messages on handheld devices (10). the device (10) displays messages in a scrollable viewport (74) of vertically arranged fields (76). date separators (80) inserted into the vertically arranged list of messages to enable the user to associate the messages with a date. the date separators (80) have 'sticky' operation, meaning that the device (10) ensures a date separator (80) always appears within the viewport (74), even when the viewport (74) has been scrolled to the middle of a long list of messages all associated with the same date. the device (10) may ensure that the top field (74a) of the viewport (74) always contains a date separator (80) associated with the message immediately below.";"No"
126514;"handheld electronic device having selectable input mode indicator and method therefor";"a method of enabling the selection of a language to be employed as a method input language by a disambiguation routine of a handheld electronic device having stored therein a plurality of method input languages and disambiguation routine number, includes outputting an input mode indicator that indicates which one of the method input languages is currently employed by the disambiguation function as part of a current input mode and indicates another characteristic of the current input mode, enabling the input mode indicator to be selected, and enabling the current input mode to be changed in response to detecting a selection of the indicator.";"No"
