appln_id;appln_title;appln_abstract
217927;method for preparing a nanowire crossbar structure;"the present invention relates to a method for preparing a nanowire crossbar structure, comprising: (a) providing a substrate; (b) depositing thereon a composite structure comprising a nucleic acid-block copolymer having equidistant nucleic acid-catalyst binding sites and at least one catalyst nanoparticle functionalized to bind specifically to nucleic acid segments of the copolymer; (c) applying a directed gas flow and/or an alternating electric field onto the composite structure; and (d) applying chemical vapor deposition techniques, a use of such a structure and a structure obtainable by such a method. <image>"
266564;method for controlling a decision process seeking a goal in a determined application domain, such as economical, technical, organisational or analogous and system for performing the method;the decision making process uses agents (gm,um,p) applying pre-set rules and strategies to form relations, directed at a glo goal, between knowledge objects reflecting a viewpoint in the application domain and other objects reflecting other points of vi or other competencies in the same or related domains. knowledge objects use an alert index to trigger decisions.
267620;filtering device and method for reducing noise in electrical signals, in particular acoustic signals and images;"the filtering device (80) comprises a neuro-fuzzy filter (1; 80) and implements a moving-average filtering technique in which the weights for final reconstruction of the signal (ol3 (i)) are calculated in a neuro-fuzzy network (3) according to specific fuzzy rules. the fuzzy rules operate on three signal features (x1(i), x2(i), x3(i)) for each input sample (e(i)). the signal features are correlated to the position of the sample in the considered sample window, to the difference between a sample and the sample at the center of the window, and to the difference between a sample and the average of the samples in the window. the filter device for the analysis of a voice signal comprises a bank of neuro-fuzzy filters (86, 87). the signal is split into a number of sub-bands, according to wavelet theory, using a bank of analysis filters including a pair of fir qmfs (h0, h1) and a pair of downsamplers (85, 86); each sub-band signal is filtered by a neuro-fuzzy filter (86, 87), and then the various sub-bands are reconstructed by a bank of synthesis filters including a pair of upsamplers (88, 89), a pair of fir qmfs (g0, g1), and an adder node (92). <image>"
269233;a molecular memory obtained using dna strand molecular switches and carbon nanotubes, and manufacturing method thereof;described herein are a molecular memory obtained using dna strand molecular switches and carbon nanotubes, and a manufacturing method thereof. in particular, the nonvolatile memory is manufactured according to an architecture that envisages the use of carbon nanotubes as electrical connectors and dna strands as physical means on which to write the information. in other words, the nonvolatile memory is made by means of a set of molecular dna strand switches, the addressing of which is controlled by molecular wires made up of carbon nanotubes. <image>
285037;device for selecting analog voltage signals;the present invention relates to an analog voltage-signal selector device of the type comprising at least one plurality of comparator circuits (ci) operating in parallel and each having at least a first and second input terminals and designed to receive respectively an analog voltage-comparison signal (ramp) and analog voltage signals (vi) of predetermined value and at least one output terminal for digital voltage signals (voi). this selector device 1 also comprises at least one logic circuit (l) having a plurality of input terminals each connected to a corresponding output terminal of the comparator circuits (ci) and at least one output terminal. finally said selector 1 incorporates at least one plurality of latches (mi) each having at least one input terminal connected to the output terminal of a corresponding comparator circuit (ci) and at least one drive terminal coupled to the output terminal of the logic circuit (l) with each of said memory circuits (mi) having at least one output terminal corresponding to an output of the selector. <image>
294126;method for training a learning-capable system;the invention is directed to a method for training at least one learning-capable system comprising the steps of providing a predetermined training data set corresponding to a predetermined number of subjects comprising a predetermined input data set and a pre-determined outcome data set, augmenting the input data set and/or the outcome data set, and training each learning-capable system using the augmented input data set and/or the augmented outcome data set. <image>
360900;system & method;the present invention relates to a system and a method for automatically determining the relationship between a plurality of tasks comprising a process and then detecting any abnormalities in the execution of the process.
383327;regulating the growth of complexity in developmental systems;developmental systems (1/11) are provided with an autotelic mechanism for driving their development. an autotelic component (1) in the system uses a mapping mechanism (2) to produce an output based on a set of inputs. the mapping mechanism (2) implements a mapping that is dependent upon a state associated therewith. the content of the state is changed by a learning/repair module (3) based on interactions between the system and the environment, and so reflects knowledge gained by this component as a result of its experience. the autotelic component (1) monitors its own performance with reference to the level of a set of one or more challenge parameters whose levels quantify the complexity of different parameters relating to the autotelic component (1). the state associated with the mapping mechanism 2 is altered depending upon the component's performance as evaluated during the monitoring. a controller (5) controls the levels of the challenge parameters. <image>
466838;system and method of adaptive generation of problem determination decision procedures;system, method, and program storage device for adaptive generation of problem determination decision procedures are provided. the decision procedures may be used, for example, for isolating problems and determining solutions to the problems in complex systems, such as it systems and consumer electronics products. in one aspect, an optimal decision procedure is generated from an universal representation of system states and actions.
2706077;system for knowledge acquisition and re-use;methods, apparatus, and computer program products are disclosed for processing conclusions in a knowledge-based system using multiple-classification-ripple-down rules for generating an output conclusion in response to an input case, the system using cases, classifications and conclusions. in one embodiment, the method comprises adding a rulenode at the end of a rule tree path for a live rulenode that has been rejected to provide a conclusion and to refer to a parent conclusion of the added rulenode.
2766403;error corrected quantum computer;abstract the correction of errors in the transport and processing of qubits, makes use of logical qubits made up of a plurality of physical qubits. the process takes place on a spatial 5 array of physical qubit sites arranged with a quasi-2-dimensional topology having a first line of physical qubit sites and second line of physical qubit sites, where the first and second lines are arranged in parallel, with the sites of the first line in registration with corresponding sites in the second line. between the first and second lines of physical qubit sites are a plurality of logic function gates, each comprised of a first 10 physical qubit gate site associated with a first physical qubit site in the first line, and a second physical qubit gate site associated with the physical qubit site in the second line that corresponds to the first physical qubit site. the temporal process comprises a number of steps to achieve movement of the qubits in the array to bring pairs of all the data and ancilla qubits to respective logic function gates over the course of a number of 15 clock cycles. then achieve the logic operation between each pair of data and ancilla qubits. move the qubits in the array to bring all the data and ancilla qubits to respective sites where they can be read out. and, use the values of the ancilla qubits read out to correct errors arising in the data qubits they have been gated with. + 0 u cl a- t) c 11 11 11 11 6 o ' * -.. c o o-- ___ - - - -- m 0 25 c w cw ui) l -00 c)/) 0-
4406590;threshold switching device;threshold switching device this invention relates to a method of forming a threshold switching device which exhibits negative differential resistance and to the devices formed thereby. the method comprises depositing a silicon dioxide film derived from hydrogen silsesqulioxane resin between at least two electrodes and then applying a voltage above a threshold voltage across the electrodes.
4537868;method and knowledge-based system for diagnosis in biological treatment of waste water;"a method and knowledge-based system for generating a holistic health index for diagnosis and decision support in operational management of biological treatment of waste water with a microbial population; measured parameters of an operating biological treatment employing a microbial population are compared with benchmark values in a data base to generate a comparison value and a holistic health index of the operating microbial population is generated from the comparison values which provide an evaluation of the operational management of the biological treatment. based on such evaluation the operating parameters of the treatment may be adjusted to maintain the treatment at an optimum level."
4579917;workflow mechanism for a stateless environment;a workflow mechanism for a stateless or connectionless environment such as the internet or an intranet. the workflow mechanism comprises an inference engine and a justification based truth management system. the inference engine and the justification based truth management system are packaged in the workflow item together with the data and business rules components, and downloaded with the workflow item to a client. the inference engine informs the truth maintenance system about the justifications relevant to workflow items. when the time comes to determine state of a workflow item, the inference engine queries the truth maintenance system which provides the state of the workflow item based on the various antecedents which are currently believed in for the workflow item. because the truth maintenance system carries the justifications, continuous network connection is not required.
4617395;multi-lingual knowledge matrix technique;a technique to add multi-lingual feature to the knowledge matrix having knowledge packets which represents mutually-exclusive knowledge at high level of abstraction. disclosed is a method for encapsulating multi-lingual knowledge packets of an element and its components in a multi-lingual knowledge matrix having a plurality of dimensions. also disclosed is a multi-lingual system having language-independent algorithms to compile knowledge packets by a correct-by-construction matrix operation. the knowledge matrix compiler comprises a language processor which separates languages, and a knowledge packet parser which processes knowledge by concatenating lines, sorting lines, removing duplicates, and parsing selectively. this invention relates to computing, more particularly to digital data processing systems and methods.
4690319;rule-driven guidance and feedback system;a reasoning model for a guidance and feedback system includes a decision gra ph built by an author to reflect a defined knowledge base. the decision graph includes nodes havin g rules to define links or transitions to other nodes in the graph. nodes may be question nodes, recommendation nodes, or cross-sell nodes. question nodes determine system user characteristics by direct interrogation or by indirect access to information about the user. recommendation nodes are associated with question nodes and may be either final or interim. cross-sell nodes provide information to a user that is not directly related to the defined knowledge base. a rule engine traverses the graph and fires the rules defined in the nodes. links to nodes are followed in a manner determined dynamically as a result of the user data obtained at question nodes.
4705217;method and system for evolutionary phenogenetic engineering;"method and system for facilitating the design of a species of artifact throu gh a process of participative refinement; this process being analogous to natural selection as it operates within biological populations. in this invention, genetic data structures are employed to encode designs. participants publish these encoded designs on a communication network, such as the internet, to establish a population of variant genotypes. these genotypes are then subject to human guided mutation and recombination, resulting in the progressive improvement of the corresponding designs."
4718095;collection knowledge system;a collection knowledge system provides context-sensitive knowledge delivery services to application programs, thereby enabling application programs to effectively support variant computational processes. in operation, a collection knowledge system receives knowledge requests fr om application programs, performs local and remote lookups into structured tree s of knowledge, and returns requested knowledge to requesting application program s. collection knowledge systems can manage knowledge for entire variant computational zes, thereby enabling application programs to calculate and execute many variant computational processes in fully automated, scalable ways that were not previously possible. as a consequence of automated process construction and execution, associated human labor costs are effectively reduced to zero.
4823885;case-based reasoning system and method having fault isolation manual trigger cases;a case based reasoning system and method for determining a root cause of a problem case. a case database stores case data correlated to a plurality of cases. the plurality of cases includes at least one solved case, and at least one trigger case. each solved case in the case database includes root cause data, and each trigger case comprises a data link to at least one fault isolation manual process for determining a root cause. a processor determines a list of at least one potential case selected from sai d plurality of cases by comparing the at least one problem attribute value to the set of attribute values for each of the plurality of cases.
4854974;a neuro-fuzzy system for estimation;a system and method for software estimation. in one embodiment, the software estimation system comprises a pre-processing neuro-fuzzy inference system used to resolve the effect of dependencies among contributing factors to produce adjusted rating values for the contributing factors, a neuro-fuzzy bank used to calibrate the contributing factors by mapping the adjusted rating values for the contributing factors to generate corresponding numerical parameter values, and a module that applies an algorithmic model (e.g. cocomo) to produce one or more software output metrics.
4921417;canonical form functions and symbolic regression in modelinganalog circuits;the present invention provides a method and system for searching a topology to optimize design parameters such as yield.
4933354;method and apparatus for construction and use of concept knowledge base;a data structure, apparatuses and methods for expanding a search query to be used by a web search engine is provided. the search query is expanded by accessing a concept knowledge base data structure having concept data objects and term data objects with each term data object defining a term and associated with at least one of the concept data objects. search terms making up the search query are matched to term data objects and a concept set is generated containing concept data objects associated with the term data objects. a second set of term data objects are generated by using the concept data objects to locate term data objects associated with the concept data objects. a user can then select one of the term data objects in the second set to expand the user's search query.
6116940;system and method for the automated establishment of experience ratings and/or risk reserves;"the invention relates to a method for the automated establishment of experience ratings and/or risk reserves of events, whereby a certain event pi,f of a starting year i includes development values pikf covering the development year k. for i, k it holds that i=1,..;k and k=1,..,k, with k being the last known development year and the first starting year i=1 comprising all development values p1kf in a defined manner. in order to determine the development values pi,k-(i-j)+1,f, iterative (i-1) neuronal networks ni,j are generated for every starting year i, with j=1, ,(i-1) being the number of iterations for a certain starting year i and the neuronal network ni,j+1 depending recursively on the neuronal network ni,j. the inventive system and method is especially suitable for establishing experience ratings for insurance contracts and/or excess of loss reinsurance contracts."
6525420;a quantum system computer;the invention relates to a novel computer architecture, and in particular, relates to a quantum system computer, which is based on quantum system and has the function of non-linear parallel compuer system. the four difficulties of the prior art, i.e., the wave envelope dip of the state measure of quantum recessive remote transmission, the quantum dissipation os small system in multiple freeness degree system environment, quantum de-coherent effect and how the quantum solid circuits operating in quantum state under normality (e.g. normal temperature, normal pressure, etc) have been resolved. the change of architecture of von neumann, and the expand of the machine languages made of large amounts of '0' and '1' to the languages having 4 x 10<7> code information has been realized by the invention.
6529330;viterbi path generation for a dynamic bayesian network;methods, systems, and apparatus are provided to generate a viterbi path for a dbn. the dbn is converted to a chain of junction trees, where each tree represents a decision-making process. the trees are forwardly iterated and the viterbi path is generated during the forward iteration (forward pass). this is achieved by maintaining backpointers to previously processed junction trees during the forward pass and dynamically assembling the viterbi with each pair of junction trees during the forward pass.
6529331;most probable explanation generation for a dynamic bayesian network;methods, systems, and apparatus are provided to generate a most probable explanation (mpe) for a bayesian network (bn). a first data structure is populated by iterating from the leaves of a junction tree (derived from the bn) to the root and retaining maximum potentials along the way. a second data structure records selective index locations that map into the first data-structure. these selective locations correspond to selective maximum potentials housed within the first data structure. all the selective maximum potentials are resolved once a root maximum potential is known for a given problem. the selective maximum potentials form a mpe through the junction tree to the reach the result.
6530705;dynamic neuron fuzzy calculation model capable automatic distinguish human body chromosome pattern;the characteristics are: (1) the n steps dymical fuzzy cluster network dfcn (n) <r,a,o> is compused by neure nd(k) (k=1,2,...,n), nd(k) is corresponding to chromosome sample mode x(k) (k=1,2,...,n), to add neure nd(o) corresponding to chromosome mode x(o) to be identified, to expand dfcn(n) <r,a,o> to (n+1) steps dymical fuzzy cluster network dfcn (n+1) <r,a,o>. (2) to do dymical fuzzy cluster analyze for x={x(k)=1,2,...,n} by dfcn(n) <r,a,o> and realize ideal dividing s={s(k) (k=1,2,...c)} [s(k) x]. (3) to do dymical fuzzy cluster operation for ={k(k) (k=0,1,2,...,n)} by dfcn (n-1) <r,a,o>, and to identify x(o) by the bound of ideal dividing s={s(k) (k=1,2,..,c)}. the dymical neure fuzzy operation model has high identify ratio for chromosome and its identity error ratio is zero.
6543383;self-programming large-scale parallel-processing bionic structure computer;the invented computer is designed based on automatic control theory provided by invention patent number 99122329.2. a new large-scale parallel processing techniques are put forward from both of hardware and software of the computer. the techniques are suitable for procedure control and programming and provide solution scheme of main part for subject of 017-job specification of national 973 plan. the computer contains a new data compress technique and possesses automatic programming capability through procedure demo, also increases number of channel without need to increase bandwidth.
6550733;method and system of applying neuroid networks to predict economic indexes;the invention discloses a method to predict economic indicator by using multi neural net-like. based on the invention, user can use standalone or distributed operation system such as personal computer, local area network, internet, wireless communication device, pda or information home appliance etc. with utilizing multi neural net-like, to predict the aconomic indicator in order to provide higher degree of reliability. the historical data of independent variables of economic indicator and dependent variable of economic indicator are respectively inputted to multi neural net-like. the predicting data are outputted respectively. the multi predicting data outputted by multi neural net-like are contraste to judge whether the data reach bilinear convergence. the work to predict the economic indicator can be carriers on by utilizing the multi neural net-like, of bilinear convergence is reached.
6558914;network-based low-cost fuzzy neuron control method;"the said control method includes fuzzy neural element control program in the local equipment controller; converting the fuzzy control regulation into fuzzy neuron net program in the net server connected to the equipment controller via communication network; the learning optimization of the fuzzy neuron net with the equipment controller running data via net server; and final downloading the fuzzy regulation of optimized neuron net to the equipment controller for running. the said control method and modify control policy and improve equipment controlling program via dynamic data learning and this makes it possible to realize optimized control at low cost."
6564305;color multi-objective fusion identifying technology and system based on neural net;in the color multi-objective fusion identifying technology and system based on neural net, multi-stage artificial neural net technology is applied and characteristic color and morphological filteringmethod is adopted in channel compression, target positioning and image segmentation. in the condition of existing color targets with comprehensive distortion in size, inside plane orientation, outer orientation, angle, color, etc., the multiple color targets may be real-time identified. the real-time direct identification of multiple color target scenes has greatly compressed information amount, shorted pre-treating aid identification time, less training samples and short training period, and can realize identification in unchanged comprehensive distortion of size, shape and color.
6564306;small optoelectronic 3d object real-time identifying system;the identifying system utilizes mixed optoelectronic technology and multi-layer nerve net method in realizing identification of several 3d objects with unchanged comprehensive distortion. the mappingclustering code and fuzzy identification method based on nerve net encodes the invariability of input objects in isoassociative network, i.e., the different input signals of one identifical object with rotation in or outside one plane, shift, size change, etc. are mapping encoded into the same code and each object corresponds to one code. wta with great memory amount is selected as the second stage of net for fault-tolerance association identification to calculate the result. the present invention has great identified target variety and high identification rate.
6565038;high spectrum picture analysis and pixel frequency spectrum decomposition method;an efficient mixing method for analyzing high-spectrum image and decomposing spectral pixels includes finding out the component vector of the first pixel in the high-spectrum image cube by genetic algorithm, using it as the initial state value of kalman filter to obtain the component evaluation of next pixel, feeding the output of robust filter back to genetic algorithm to derive out the correct component evaluation of current pixel, applying said method to next pixel, and so on.
6652073;visually controlled storage system;a visually controlled storage system as a core technique for supporting high-class intelligent network site is based on the universal visual control technique, and is composed of visual control registers and visual control database as well as formed visual control effect set.
6655725;method for creating 3d dual-vision model with structural light;a structure light method for creating 3d dual-vision model used for industrial inspection and vision pilot is disclosed. the rbf nerve network is composed of 3 layers. the input layer has two nodes. the output layer has three nodes. the default layer has three nodes, whose action function is gauss nuclear function. the data of scale points in global coordinate system is used to train the dual-vision nerve network. its advantages are high precision, high training speed, and no blind area.
6677516;optical mouse chip having silicon retina structure;the chip includes the image sensor array unit, the accumualtion unit and the comparison selection unit. the image sensor array unit detects the motion direction of the image and outputs the values ofthe image in different motion directions respectively. the accumulation unit accumulates the total output voltage of the image in different motion directions. the comparison selection unit selects the maximum output value from the total output value of the image in different motion directions in order to represent the motion direction of the image.
6678860;low power consumption analogue signal sample retaining circuit;the present invention relates to an analog signal sampling/holding circuit with low power consumption and its application method. said invention includes at least three-stage amplification circuit, sampling and holding circuit, and it is characterized by that three control switches are added, and a control signal is newly added, and can be used for respectively controlling the described control switches, and the last one-stage amplification circuit input end can be used for controlling control signal inversion of switch and other control switches. when the neural operation amplification sampling/holding circuit is in the rest state, the power consumption of the circuit only is formed from electric leakage of tube, so that it possesses the advantages of low power consumption, and when the circuit is in the restoration state, its sampling signal can be normally outputted.
6766898;logic reorganizable circuit;the circuit includes one output end, one output end and three functional modules at least. each functional module has at least one input end and one output end. the characters are as follows. at least one input end of the said circuit and at least one output end of each functional module passing through the network-coding unit are connected to at least one input end of at least one function module and the at least output end of the said circuit. among the connections above, at least one output end of at least functional module through the coding unit is connected to at least two input ends ofthese functional modules. with the value of the control input end of the network-coding unit being changed, at least one control input end can changes the connection relations between input/output end of the said circuit and each output/input end of each functional module.
6787396;a process for constructing multiple weighing value synapse nerve cell;a process for constructing multiple weighing value synapse nerve cell comprising, (1) determining the number of the synapse, (2) constructing the multiple weighing value synapse, (3) selecting activation threshold according to synapse function and system characteristic, (4) forming the multiple weighing value synapse, (5) determining the threshold value according to synapse function, excitation function and synapse number.
6789456;a non-hypersphere geometrical body covering method for pattern recognition;a non-hypersphere geometrical body covering method for pattern recognition characterized by that the method comprises, (1) initializing the sample space, classifying the sample space into two category of the known sample subspace and the unknown sample subspace, (2) starting the training for certain category of samples, (3) constructing the relative relation between the samples of the same category according to a rule and constructing this sample subspace, (4) covering the sample subspaces of each category with non-hypersphere geometrical body, (5) forming enclosed sample space.
6793332;text excavating method of semi-structural document set;the present invention belongs to intelligent information processing technology and especially relates to text excavating method of semi-structural document set. one excavating method to structural link vector model of semi-structural document is proposed. the said method can utilize comprehensively the word information, structure information and link information and express them in united mathematical model. the text excavating of semi-structural document set with the model can utilize the structure information and link information in semi-structural document, and thus has greatly improved excavating effect. the said method can be used widely in intelligent information processing.
6795297;apparatus and method for identifying gazing direction of human eyes and its use;the invention includes the hardware devices composed of the pick-up head, the image interface and the processor, the time periodic image collection, the recognizing the direction of the person's eye gazing at as well as the non-contact intelligent control technique. in the said non-contact intelligent control technique, the direction of the person's eye gazing at is used as the control command orthe auxiliary information. the invention can be applicable to home appliances, game machines, curing and nursing instruments or as the non-contact control devices for handicapped people etc. the gazing method can turn on or off some simple appliances such as air conditioners, 'waken' the robot or computer in the standby state. the gazing method also can indicate the user's intended control command.
6799274;method of precisely calculating continuouly using time of airplane auxiliary power device through establishing dynamic model;through procedures of setting initial deduction coefficient, establishing attribute value of accumulating service time of auxiliary power unit (apu) and determining annual deduction coefficient etc. by using comparison and discrimination made by computer for the readings of apu timer obtained each time, the method can provide continuous apu accumulated service time, modify apu deduction coefficient, making value calculated accurate gradually. the method reduces calculating error and error of apu deduction coefficient to increase quality of monitoring apu ensuring corrective judgment for service performance of apu and accessories.
6802560;multi-energy power assembly semi-matter simulation testing system;a semi-actual simulating test system for multi-energy power assemblage of car is a closed-loop one, and is composed of a desktop pc, 8-channel a/d acquisition card, a 8-channel d/a converter card, 32-channel i/o card, the digital signal generator connected to high-speed serial port's usb converter, and software developing platform matlab/simulink to replace the dynamic calculation model of car assemblage.
6802890;chaos signal-producing and chaos-noise distinguishing method;"the present invention is chaos signal-producing and chaos-noise distinguishing method, as well as chaos signal generator and one simple and convenient chaos and noise distinguishing instrument. in the chaos signal generator, differential equation and differentce equation are numerically solved to obtain chaos time sequence signal xm, with m=0,1,2...; and the chao time sequence signal xm is d/a converted to output chaos signal. in the chaos and noise distinguishing instrument, the input time sequence signal xm to be distinguished is processed via 'correlative space' projection method and obtain the projections and the input signal is judged by the projection characteristic to be either chaos or noise. it is easy to generate chaos signal with a chaos signal generator and to distinguish chaos and noise with a chaos and noise distinguishing instrument."
6803642;statistics and rule combination based phonetic driving human face carton method;"the invention is a method face cartoon driven by voice which is based on the combination of statistic and rules, it includes steps: gets the audio and video frequency data flow by using audio and video frequency synchronous cuttnig method; gets the corresponding eigenvector through audio and video frequency analyzing method; gets the radio and video frequency synchronous mapping relation model through statistic learning method; gets the face moving parameter which is corresponding to the vodei serial of the user by using the model and drives the face cartoon model. the invention uses video gathering, voice analyzing and photo processing, records the actual voice when speaking and the character points moving data."
6808909;non-partitioned biomimetic mode discriminating method;"the present invention is a method for recognizing a non-divided bionic mode, comprising the following steps: ( 1 ) extracting the features of a sample; ( 2 ) analyzing in dimensions the flow shape of the sample of the same type which is distributed in a high-dimension space under the prerequisite that the sample of the same type has the continuity; ( 3 ) selecting and arranging reasonably the training samples; ( 4 ) determining the approximate geometrical entity a which covers the subspace of the sample according to the dimension number of the flow shape of the sample and the training sample; ( 5 ) constituting the subspace of the sample of the type according to the approximate geometrical entity a; ( 6 ) repeating step ( 4 ) until the subspaces of the samples of whole types are completed."
6810755;dynamic cognitive nerve network and its implementation;the dynamic cognitive nerve network consists of input layer, hidden layer, structure layer, memory layer and output layer. it has proportional, integral and differential dynamic characteristics. whenused in identifying system, it has fast convergence speed and thus well tracking the identified system. when used in control, it is one pid controller with varied structural parameter. the present invention is different from other nerve network in that its weight valve has physical meaning. its initial value may be selected based on the understand of the physical process, and this can avoid the instability of the controlled system in the initial stage and the caused disturbance.
6821254;magnetic suspension digital sport electronic device;the present invention, magnetic suspension digital sport electronic device, belongs to the field of digital sport device in chaotic brain science and is one new member of information industry. the present invention relates to one kind of micro digital sport device to control externally different brain areas for preventing and dispersing the third state of human body and reaching the aims of becoming clever, strong, handsome happy and long-lifed. the digital sport electronic device is developed based on digital brain treating and nursing concept and has multiple functions. it performs automatic detection and regulation of brain area through sending detection signal to brain area with disorder function, collecting, storing and processing the data of the damaged brain area and regulating the secretion of brain area, to predict and treat diseases of brain.
