appln_id;appln_title;appln_abstract
73246;reson - dynamic search key for knowledge based information management;the dynamic search key is used for easy recognition of stored objects on the basis of variables and their momentary values. all variables are converted to dynamic search keys, thus allowing the search to be made without any implied knowledge about what the various variables actually represent. the dynamic search key is produced by converting a variable's momentary value to a string of characters, consisting of letters, numbers, and symbols, by making sure that only such characters are chosen that can be utilized in a search key for the database system in use, and by splitting the variable in a selected number of segments within its boundary values, with a character allocated to each of said segments, and where each such segment is being split into another number of segments within the segments boundary values, until one reaches a lower limit, given by the required precision. for each level of splitting, a character is added to a character string which finally constitutes the dynamic search key. objects being searched for contains one or more such dynamic search keys for every variable that are required to identify the object, and representing those values of said variables that are required to uniquely identify the object. a knowledge based control system using this technology is being realized by including a database with objects containing control instructions that can be retrieved by using dynamic search keys that are generated from the momentary values of one or more relevant control variables.
81197;electronic investigative device and method for identifying the truth;the present invention provides a novel electronic investigative device for identification of truth from individuals who have committed an act of offence. the invention also provides a method for identification of truth based on bio-electric responses that are elicited by presentation of a unique design of nestled probes. the method advantageously utilizes the experiential knowledge present in a subject's brain that elicits a bio electric response to the presentation of probe. the invention is completely non-invasive and does not require an active participation of the subject. further, the method is fully automated to enable tamper proof results.
92048;method and computer system for display state adjustment of tree-nodes;"computer-implemented method, computer system and computer program product are provided. a computer-implemented method may comprise the following steps: \n providing a predefined tree, the tree having a plurality of nodes wherein each node has a predefined propagation attribute, a predefined control attribute and a predefined display attribute; \n changing the control attribute of a node, wherein the node defines a sub-tree of the tree; each node of the sub-tree having a parent-node; \n calculating the propagation attribute of each node of the sub-tree depending on the node's control attribute and the propagation attribute of the corresponding parent-node according to predefined propagation rules; and \n adjusting the display attribute of each node of the sub-tree with respect to the node's control attribute and the node's propagation attribute (193) according to predefined display rules."
95075;a system and method for mapping between message and data domains using a metadata defined mapping;it is desirable to drive down the complexity involved in developing the wireless application by reducing the need to do any explicit coding, as well as reducing device resources utilized by the application when provisioned. having an intelligent wireless device runtime environment (device runtime) that provides a set of basic services to manage the wireless application as a series of application components, and their interactions, can simplify the development effort and reduce resource allocation. the wireless application is described as a set of components. the data domain for this category of applications is defined using atomic data components. the communication between the device and a server is defined using atomic message components. both message and data components are described in metadata using a structured definition language such as xml. the relationships between the message and data components are embedded in the xml definitions in the form of message/data mappings. typically, outgoing messages are derived from some underlying data component and incoming messages affect the current state (or data representation) of the application. it is therefore apparent that the metadata defined mapping relationship is preferable between the expression of data and message components. <image>
95951;method and apparatus for outputting an object via a human-machine interface;in a method and corresponding apparatus for outputting an object (92-95, 112-115) via a human-machine interface a state of the object (92-95, 112-115) to be output is determined and a digital data archive is accessed. the data archive stores information on a plurality of different representations of the object (92-95, 112-115). information on a representation of the plurality of representations of the object (92-95, 112-115) respectively defines the representation in terms of at least one primitive object (96-102, 116, 117). information on a representation of the object (92-95, 112-115) is retrieved based on the determined state, and the object is output in a first state (92, 93, 95) or in a second state (112, 113, 115) based on the retrieved information on the representation.
102464;system and method for building wireless applications with intelligent mapping between user interface and data components;a system and method is described for effective management of a user interface (ui) of a wireless device by implementing direct mapping between the application data domain and ui screens and controls. the device has an intelligent wireless device runtime environment (device runtime) that provides a set of basic services to manage the wireless application, including a series of linked screen and data component definitions, and their interactions can simplify the development effort and reduce resource allocation. the data domain for this category of applications is defined using the atomic data component definitions. the communication between a device user interface and data components is defined using atomic screen component definitions. both screen and data component definitions are described in metadata using a structured definition language such as xml. the relationships between the screen and data component definitions are embedded in the xml definitions in the form of screen/data mappings. typically, rendered screens for display are derived from some underlying data component and screens controls affected by user events impact the current state (or data representation) of the application changes to the application domain data are automatically synchronized with the user interface, and user-entered data is automatically reflected in the application domain data. the primary mechanism behind this synchronization is the mapping of screens and data. this mechanism enables creation of dynamic and interactive screens. all changes to the data component can be immediately reflected on the screen and vice versa. this model allows building effective wireless applications based on server-to-device notifications. the data updates asynchronously pushed from the server are instantaneously reflected at the ui screen. <image>
102627;execution of textually-defined instructions at a wireless communication device;software, methods and devices for executing textually-defined instructions at a wireless communication device are disclosed. the instructions may be for performing a mathematical operation upon specified integer or floating-point operands, for performing one or more specified actions for each pass through a loop, for performing one of two sets of actions based on a user selection of one of two user interface controls, or for triggering a timer for delaying a subsequent action by a specified time interval. the instructions may be defined in a markup language such as extensible markup language (xml). the software, methods and devices may form part of a system for allowing varied wireless communication devices to interact with server-side software applications.
102656;localising unstructured resources;systems and methods of processing an unstructured resource which contains one or more data portions are described. the method comprises reading the unstructured resource into memory and accessing a data structure associated with the unstructured resource. this data structure contains a number of elements, each element including position information for a data portion in the unstructured resource. using this position information, data portions are located from the unstructured resource and processed and the locating and processing steps are repeated for each element in the data structure.
103253;method and interprocess communication driver for managing reqests of a database client to a database server;"the present invention concerns a method for managing the interprocess communication between at least one database client process (2) and at least one database server process (3) in a database system (5), wherein the at least one database client process (2) sends at least one request to the at least one database server process (3), the at least one request comprising one or more buffers, the method comprising the steps of: \n a. transferring (211), in a single step, the one or more buffers from the at least one database client process (2) to a buffer area (40); and \n b. transferring (223), in a single step, the one or more buffers from the buffer area (40) to the at least one database client process (2); wherein \n c. the buffer area (40) is directly accessible by the at least one database server process (3)."
108597;system and method for planning a technical system;the invention relates to a system and a method for planning a technical system. in order to provide the least complex possible diagnosis ability for any errors that may occur in a technical system in the planning stage, a method is proposed for the diagnosis of at least one status value of a technical system or a process that may be conducted using the technical system based on a semantic network (22), which represents knowledge about the technical system in the form of feature variables (17, 18, 32, 33, 34) and semantic dependencies (19) linking the feature variables (17, 18, 32, 33, 34), comprising the following process steps: - presetting at least one feature variable (17, 18, 32, 33, 34) with a system or status parameter (42) of the technical system as the default value and - forecasting the at least one status value by evaluating the preset semantic network (22), wherein the method is performed during the planning of the technical system.
110305;establishment method for private television system on the internet;provided are a private television system and a method for establishing the same on the internet. the private television system includes a tss-pc, a manager server, and a remote pc. the tss-pc includes a tv receiving card and a lan card for receiving a tv signal, and has compression/transmission software for transforming tv broadcastings to moving image files, compressing and transmitting the moving image files. the manager server is connected to the tss-pc through a network, receives network information of the tts-pc including mac address and ip address and stores the received network information with personal information. the remote pc is connected to a network for receiving the network information including the mac address and the ip address from the manager server 20 and includes reception/reproduction software for enabling a user to watch tv broadcasting by controlling the compression/ transmission software.
112782;method for optimisation of the amount of additives when treating fluids;the procedure for controlling optimal dosing quantity of processing chemicals in the treatment of continuously flowing fluids, comprises interrupting periodic processing of alogarithms to reach certain interruption criteria. an appropriate start measure value sm=mo is received and the dosing quantity change (delta di) and analysis of measure value change (delta mi) induced through the dosing quantity change are carried out. the controlling is pretended to begin the process, if the maximal (mmax) and/or minimal (mmin) measure value is set for the optimal dosing quantity. the procedure for controlling optimal dosing quantity (dopt) of processing chemicals in the treatment of continuously flowing fluids, comprises interrupting periodic processing of alogarithms to reach certain interruption criteria. an appropriate start measure value sm=mo is received and the first dosing quantity change (delta di) and analysis of measure value change (delta mi) induced through the dosing quantity change are carried out. the controlling is pretended to begin the process, if the maximal (mmax) and/or minimal (mmin) measure value is set for the optimal dosing quantity (dopt)=rd, and starts with the dosing quantity sd=do. the result of the analysis of the measure value change decides over the further procedure and the dosing quantity (d) is periodically changed by a predeterminable dosing quantity change at an interval of a predeterminable clock time (delta ti). a tolerance (ti) is given in which the sum of the measure value change is delta mi greater than ti and the dosing quantity change is delta di+1 greater than 0. in a positive or negative measure value change (delta mi) or measure value change (delta mi=0), the following dosing quantity change (delta di+1) to be distinguished of the same or opposite sign is assigned like the prior dosing quantity change (delta di), if mmax or mmin is put as standard value rm=f(rd). the periodic processing of the alogarithms of the procedure is selectively interrupted when carrying out inadmissibly high predetermined absolute measure value change, exceeding the measure value change (delta m) to predetermined value, exceeding predetermined number of rectified dosing step and/or directional reversing of the dosing step and/or reaching the dosing quantity limit. after the interruption of the periodic processing of the alogarithms, the parameter of the predetermined absolute measure value change, predetermined value of the measure value change, the initial dosing quantity (dstart), dosing step range (delta di), maximal dosing quantity (dmax), minimal dosing quantity (dmin), cycle time (delta ti) and tolerance (ti) is changed.
115399;system and method for presentation of wireless application data using repetitive ui layouts;"a repetitive layout scheme is provided that operates on a collection of data objects, such that each data object accords to the same data object definition (data model) expressed in a structured definition language. the repetitive layout consists of one ui section repeated for every object in the collection. each ui section is composed of a set of ui controls or sub-layouts. the ui controls in each section are associated with the data fields of the corresponding data object. a user of a wireless application interacting with the data objects can select ui sections and edit the controls within them via the user interface of the wireless device executing the application. any modifications are propagated to the data objects mapped to the respective ui sections. similarly, all modifications (driven by the application logic or incoming server messages) to the data objects are reflected in the ui section mapped to these objects. the generation and application of the repetitive layout scheme can include the steps: dynamic data entity generation (data composer stage); determining the collection of data objects that need to be presented by the user interface (rules engine stage); sorting the collection of data objects (sorting processor stage); generating the ui layout (layout generator stage); propagating ui changes back to the data model having the definitions of the data objects (data dispatcher stage); propagating data changes to the repetitive layout; and propagating changes to nodes of the data model. <image>"
116445;displaying messages on handheld devices;"a method of displaying messages on handheld devices (10). the device (10) displays messages in a scrollable viewport (74) of vertically arranged fields (76). date separators (80) inserted into the vertically arranged list of messages to enable the user to associate the messages with a date. each message has an associated date with a group of messages associated with a same associated date comprising a first associated message and other associated messages. the viewport is divided into a plurality of fields (76) arranged in a vertical list having a topmost field (76a) and a second field (76b), the second field (76b) being immediately below the topmost field (76a) in the vertical list, wherein the number of messages exceeds the capacity of the scrollable viewport (74) to display all of the messages at one time. the method comprises the steps of: identifying one of said other associated messages for display in the second field (76b); displaying a date separator item (80) in said topmost field (76a), wherein said date separator item (80) is based upon said same associated date of said one of said other associated messages; receiving a scroll command; identifying a next message for display in the second field (76b) after scrolling is applied and determining whether the next message is associated with the same associated date as the date separator item (80), and if so, maintaining display of the date separator item (80) in the topmost field (76a), and if not, displaying a new date separator item (80) in said topmost field (76a), wherein said new date separator item (80) is based upon a date associated with said next message.."
125775;design pattern and procedure for processing an object model;the pattern (70) is informatively implemented by a sequence of elementary transformations of an initial object model (40). each elementary transformation is a modification, suppression or creation of a modeling element of the object model, where the object model is conformed to unified modeling language notation. a user assistance program (50) interprets the pattern which triggers an execution of the transformation sequence using the program. independent claims are also included for the following: (1) a computer program product comprising a user assistance program (2) an object model transformation method (3) a code generation method.
126282;navigation between use locations of resources in automation systems;the method involves providing a variable (3) by an automation system (1) and using an identification characteristic for a unique identification of the variable in another automation system (2). a use of the variable is indicated in the latter automation system based upon a proxy variable (4) mapping between the automation systems, where the proxy variable contains application locations of the variable in the respective automation system. the characteristic is hierarchically constructed with a system-specific path and a local identification of the variable. an independent claim is also included for a system comprising two automation systems.
126514;handheld electronic device having selectable input mode indicator and method therefor;a method of enabling the selection of a language to be employed as a method input language by a disambiguation routine of a handheld electronic device having stored therein a plurality of method input languages and disambiguation routine number, includes outputting an input mode indicator that indicates which one of the method input languages is currently employed by the disambiguation function as part of a current input mode and indicates another characteristic of the current input mode, enabling the input mode indicator to be selected, and enabling the current input mode to be changed in response to detecting a selection of the indicator.
132361;provision of data for data warehousing applications;a computer network architecture for making procurement-related information that has been generated on a transaction level available to data warehousing techniques is described. the computer network architecture includes a transaction processing layer (16) with at least one accounting component (16a) with a general ledger data base (30) for centrally storing information contained in accounted-related data sets, a data warehousing layer (12) for gathering and accumulating information provided by the transaction processing layer (16) and an additional data sourcing layer 18. the data sourcing layer (18) includes a duplicator (32) receiving the accounting-related data sets that will be or have been stored in the general ledger data base (30). the duplicator (30) delivers duplicates of such accounting-related data sets that fulfil a predefined criteria in a procurement context. the data sourcing layer (18) further comprises a source data base (36) for storing the duplicated data sets on a data line level. an extractor (38) of the data sourcing layer (18) interfaces the data warehousing layer (12) and selectively moves data contained in data lines or sets of data lines from the source data base (36) to the data warehousing layer (12). <image>
134944;multiple purpose integrated circuit;an integrated circuit is operable to execute boot loader code and a boot code from external memory. to provide security so that the cpu does not execute malicious codes, the circuit resets in a restricted mode in which only certain functional units may be connected. in the restricted mode the cpu is only able to fetch boot code from an external memory for transfer to an internal memory. a hash function operates on the fetched boot code to determine whether it is authentic and, if it is determined that the code is authentic the circuit is reset to an unrestricted mode to continue executing from the boot code now stored in the internal memory. further security is provided by a watchdog timer function which resets the circuit if the boot code is not determined to be authentic within a given period of time.
140741;method and computer system for handling incremental data in client-server communication;a server-controller (101-1) on a server (901) receives (410) a modification-request generated by a client-controller (100-2) of a client (900) to modify an original model (200-t1) of an application component that is stored on the server (901) into a modified model (200-t2). a server-renderer (101-2) generates (420) at least one browser-increment (300-i) that corresponds to the difference between the original model (200-t1) and the modified model (200-t2). a client-assembler (100-1) receives the at least one browser-increment (300-i) from the server (901) and updates at the client (900) an original dom component (300-t1) that corresponds to the original model (200-t1) with the at least one browser-increment (300-i), resulting in a modified dom component (300-t2) that corresponds to the modified model (200-t2). <image>
143269;software replacement method and related software replacement system;the present invention relates to a software replacement method, for replacing a first software package that comprises a command handling interface which is present at a computer system, by a second software package over a connection between an operator terminal and this command handling interface. at first the second software package is installed besides the first software package at the computer system. subsequently, the second software package is activated. then a contacting part of the second software package, after activation of this second software package, contacts the command handling interface. the command handling interface at contacting of the command handling interface by the contacting part of the second software package, switches from the first software package towards the second software package and keeps open the connection between the operator terminal and the command handling interface. <image>
144903;font data processing system and method;a method of facilitating the processing of font data for electronic data transfers to client devices includes storing a list of client font capabilities associated with one or more client devices, accessing font data in an electronic data transfer addressed to at least one client device, the at least one client device corresponding to the one or more client devices, comparing the accessed font data to the list of client font capabilities associated with the one or more client devices, and identifying augment font data based on the comparing the accessed font data to the list of client font capabilities associated with the one or more client devices. augment font data is then included in the electronic data transfer to the at least one client device. <image>
145805;method for customizing the visual attributes of a user interface;a method for customizing a complex field in a user interface, wherein the complex field has a predefined set of visual attributes to govern the appearance of graphic elements in the complex field, including text. the method operates in the context of a rendering operation and includes storing a current graphics context for the field, applying a new visual attribute to a region of the field, outputting graphics to the region governed by the new visual attribute, and restoring the graphics context for the remainder of the field. the visual attributes are theme-able attributes that may be specified in theme-attribute sets for implementing the user interface in accordance with a specific visual theme.
149254;power saving and handling broadcast as unicast traffic in a wlan;an access point (102) is to handle received broadcast or multicast traffic as multiple instances of unicast traffic, where each instance is destined for a corresponding wireless client device (120, 122, 124, 126, 128, 130) associated with the access point (102). a client device (400) may adjust its listen interval parameter according to predefined considerations, for example a charge level of a battery (420) to power the client device (400) and an expected usage model for the device (400). a client device (400) may initiate a reassociation request to inform the access point (102) of its adjusted listen interval parameter.
149256;system and method for managing communication for component applications;an application gateway server is provided for managing communication between an application executing in a runtime environment on a device and at least one backend server. the application gateway server comprises a message listener, a connector subsystem, and a messaging subsystem. the message listener receives messages from the component applications. the connector subsystem comprises a plurality of connectors, each of the plurality of connectors for communicating with one or more associated backend servers. the messaging subsystem comprises a message broker for processing messages received from the message listener and transmitting them to an associated one of the plurality of connectors and a communication mapping for identifying which of the plurality of connectors is to be used for each message in accordance with an origin of the message.
152472;method of automatically tuning motor controller and motor controller;the stability and/or robustness and/or performance of the motor controller system (1) is automatically evaluated and improved by the following steps: \n 1.1 generate a plant transfer function (h) from the system transfer function (ch) by eliminating from the system transfer function (ch) previously known controller contribution, \n 1.2 define a modified motor controller parameter set, \n 1.3 generate multiple values of a modified system transfer function (c' h) out of the plant transfer function (h), using the modified controller parameter set, the multiple values representing a practically continuous frequency range, where the practically continuous frequency range corresponds to the relevant operating frequency range (5) of the motor controller system (1), \n 1.4 evaluate stability and/or robustness and/or performance of the motor controller system (1) using the modified system transfer function (c'h), \n 1.5 improving the motor controller system (1) by defining different modified controller parameter sets, executing steps 1.3 to 1.4 for each modified controller parameter set and identifying the best parameter set out of the different controller parameter sets using the evaluations done according to 1.4.
152580;system and method for dynamically displaying process states in an automation system;the device has a selection unit for selecting an object graphically represented on a surface to be projected by a projector, where the object represents a state variable of an automated system. an input mask (4) is provided for inputting graphical characteristics of the object describing conditions through the projector, where the graphical characteristics of the object are representable based on actual value of the state variable. the input mask is formed as table (6), and a context menu (7) is provided for selecting the characteristics to be visualized. an independent claim is also included for a method for graphically projecting a surface of an operation and observation system.
