appln_id;appln_title_lg;appln_title;appln_id
267532;en;Method and apparatus for the automatic detection of microcalcifications in digital signals of mammary tissue;267532
263452;en;Improvement of the reproducibility in consumption measurements by standardisation;263452
257187;en;Air-fuel ratio control system and method for internal combustion engine;257187
228409;en;Method of generating a process model;228409
201318;en;Optimization method for a fuzzy neural network;201318
180658;en;Methods and systems for assessing loss severity for commercial loans;180658
162612;en;Portable mine detection system;162612
142622;en;Engine control system using a cascaded neural network;142622
29980;en;METHODS AND SYSTEMS FOR AUTOMATIC SELECTION OF CLASSIFICATION AND REGRESSION TREES;29980
1416272;en;Using fuzzy logic to determine the number of passengers in anelevator car;1416272
436988;en;Air-fuel ratio control system;436988
394321;en;Apparatus for noise recognition and noise separation;394321
358808;en;Method and system for automated analysis of NMR spectra;358808
327402;en;Variable rate application system;327402
326619;en;NEURAL DEVICE;326619
324397;en;DEVICE AND METHOD FOR NEURAL NETWORK BREATHING ALARM;324397
311994;en;XML-based architecture for rule induction system;311994
277134;en;A LOCKED ELEMENT FOR USE IN A GRAPHICAL MODELING ENVIRONMENT;277134
274507;en;GENERATION OF CODE FROM A GRAPHICAL MODEL;274507
273086;en;An adaptive control for a refrigeration system using pulse width modulated duty cycle scroll compressor;273086
234367;en;A NEURAL NETWORK BASED METHOD FOR EXPONENT CODING IN A TRANSFORM CODER FOR HIGH QUALITY AUDIO;234367
209263;en;Modelling tool for chemical processes;209263
199568;en;Regulating device and method for regulating the moisture level of a paper web and drying section;199568
177411;en;CONSTRUCTION AND MAINTENANCE OF SCENEGRAPHS FOR INTERACTIVE FEATURE-BASED GEOSCIENCE GRAPHICAL MODELING;177411
164876;en;EFFECTIVE MULTI-CLASS SUPPORT VECTOR MACHINE CLASSIFICATION;164876
154580;en;DECISION-SUPPORT EXPERT SYSTEM AND METHODS FOR REAL-TIME EXPLOITATION OF DOCUMENTS IN NON-ENGLISH LANGUAGES;154580
107165;en;METHOD FOR COMPUTER-AIDED CONTROL AND/OR REGULATION USING NEURAL NETWORKS;107165
78704;en;EXPERT SYSTEM FOR INSULIN PUMP THERAPY;78704
73492;en;INSULIN PUMP BASED EXPERT SYSTEM;73492
46934;en;INTELLIGENT BIOMETRIC RADAR SYSTEM;46934
453607;en;METHOD FOR CONTROL OF SPACECRAFTS;453607
445066;en;Multi-function air data probes employing neural networks for determining local air data parameters;445066
434572;en;Spatial light modulating element and neural network circuit.;434572
378520;en;Current transformer saturation correction using artificial neural networks;378520
327312;en;Neural network circuit;327312
326942;en;Speech recognition system;326942
324202;en;A method of selecting characteristics data for a data processing system.;324202
323802;en;NEURAL NETWORK;323802
285030;en;Low-voltage, very-low-power neural network;285030
240825;en;METHOD FOR DETECTING FACE REGION USING NEURAL NETWORK;240825
208320;en;System and method for detecting and diagnosing pump cavitation;208320
195952;en;System and method of controlling a rotary blood pump;195952
163664;en;Method and device for calculating the values of neurons in a neural network;163664
143623;en;TRANSFORMER MANUFACTURING OPTIMIZED PLANNING ACROSS THE MANUFACTURING PLANTS USING ARTIFICIAL INTELLIGENCE;143623
112356;en;METHOD AND APPARATUS FOR HUMAN BEHAVIOR MODELING IN ADAPTIVE TRAINING;112356
66230;en;System, method and computer program product for generating key performance indicators in a business process monitor;66230
11965;en;PAINTING SYSTEM;11965
199;en;Method for measuring the thickness of a film hose;199
466538;en;LEARNING AND REASONING TO ENHANCE ENERGY EFFICIENCY IN TRANSPORTATION SYSTEMS;466538
422486;en;NEURAL NETWORKS FOR DETECTION OF PHONETIC FEATURES;422486
1429946;en;Facet classification neural network;1429946
402262;en;Method of classifying vehicle occupants;402262
1601350;en;Method of training neural networks used for speech recognition;1601350
1618630;en;Apparatus using a neural network for power factor calculation;1618630
1865199;en;Spectrophotometric neural network;1865199
1878299;en;Neural network method and apparatus for disease, injury and bodily condition screening or sensing;1878299
40631;en;Neuroevolution training system;40631
405083;en;Handover control method and apparatus using fuzzy logic;405083
435214;en;Organic light emitting device and preparation and use thereof;435214
328104;en;Information processing apparatus for implementing neural network.;328104
273087;en;An adaptive control for a refrigeration system using pulse width modulated duty cycle scroll compressor;273087
171779;en;METHODS AND SYSTEMS FOR TRANSDUCTIVE DATA CLASSIFICATION AND DATA CLASSIFICATION METHODS USING MACHINE LEARNING TECHNIQUES;171779
103842;en;Fuzzy logic circuit.;103842
75079;en;BIOMARKERS FOR THE DIAGNOSIS AND ASSESSMENT OF BIPOLAR DISORDER;75079
25929;en;Method and system for supporting a decision-making process;25929
25025;en;A furnace, its method of operation and control;25025
302340;en;System and method for accelerating and optimizing the processing of machine learning techniques using a graphics processing unit;302340
273085;en;An adaptive control for a refrigeration system using pulse width modulated duty cycle scroll compressor;273085
273083;en;An adaptive control for a refrigeration system using pulse width modulated duty cycle scroll compressor;273083
270084;en;Safety cut-off for power tool with rotating tool bit;270084
256482;en;METHOD FOR THE COMPUTER-AIDED STUDYING OF A NEURAL NETWORK, AND NEURAL NETWORK;256482
247420;en;NON-GRAPHICAL MODEL DEPENDENCIES IN GRAPHICAL MODELING ENVIRONMENTS;247420
168563;en;SUPPORT VECTOR INDUCTIVE LOGIC PROGRAMMING;168563
137656;en;Fuzzy logic autobrake system for aircraft;137656
133135;en;Neural network based extension of GPS based timing;133135
122603;en;FAST SEMANTIC EXTRACTION USING A NEURAL NETWORK ARCHITECTURE;122603
111373;en;METHOD OF DETERMING A MACHINE OPERATION USING VIRTUAL IMAGING;111373
81936;en;METHOD FOR DEGRADING WASTE AND CORRESPONDING SYSTEM;81936
80232;en;MULTI-PHASE FLOW METER FOR ELECTRICAL SUBMERSIBLE PUMPS USING ARTIFICIAL NEURAL NETWORKS;80232
73101;en;SYSTEM AND METHOD FOR IDENTIFYING A THREAT ASSOCIATED PERSON AMONG A CROWD;73101
62848;en;REPORTING FIXED-POINT INFORMATION FOR A GRAPHICAL MODE;62848
44330;en;Apparatus and method of calibrating for a modeling tool and modeling tool incorporating such an apparatus;44330
40145;en;EXPERT SYSTEM FOR DESIGNING EXPERIMENTS;40145
37807;en;MODELING OF CONTROL SYSTEMS WITH OPEN-LOOP REPRESENTATIONS AND FACTORIZATION OF COMPONENTS;37807
2107;en;A NEURAL NETWORK, A DEVICE FOR PROCESSING INFORMATION, A METHOD OF OPERATING A NEURAL NETWORK, A PROGRAM ELEMENT AND A COMPUTER-READABLE MEDIUM;2107
435626;en;Cooking appliance;435626
352866;en;NEURAL NETWORK CLASSIFIER FOR SEPERATING AUDIO SOURCES FROM A MONOPHONIC AUDIO SIGNAL;352866
324035;en;Neural network;324035
323669;en;Neural network;323669
450449;en;Vehicle body slip angle-estimating device and method;450449
296561;en;System and method facilitating pattern recognition;296561
293585;en;Expert system for generating user interfaces;293585
630056;en;A device which operates on the neural network principle;630056
1396692;en;VENTILATOR PATIENT SYNCHRONIZATION;1396692
1401170;en;Neural network based data examining system and method;1401170
254645;en;Method and apparatus for the registration of 3D ear impression models;254645
1645576;en;Distributing resources in a physical network using neural networks;1645576
1666398;en;Service request processing performed by artificial intelligence systems in conjunction with human intervention;1666398
59747;en;Computer implemented method for detecting scene boundaries in videos;59747
975322;en;PROCESS FOR PROCESSING ANALOGICAL AND BINARY MEASUREMENT VALUES DETECTED BY ACTIVE AND PASSIVE SENSORS IN A MAINLY ELECTRIC POWER PLANT;975322
436342;en;Neural network video image processor;436342
406881;en;DATA COMPRESSING DEVICE AND METHOD, DATA ANALYZING DEVICE AND METHOD, AND DATA MANAGING SYSTEM;406881
1401186;en;Neural network based prototyping system and method;1401186
1401203;en;Neural network based database scanning system and method;1401203
1518608;en;An expert system intervention for smoking cessation;1518608
279414;en;TRAINING A SUPPORT VECTOR MACHINE WITH PROCESS CONSTRAINTS;279414
248062;en;A control system for a vehicle and trailer combination;248062
567038;en;OPTICAL VECTOR MULTIPLIER FOR NEURAL NETWORKS;567038
435303;en;A spatial light modulator and a neural network circuit;435303
425118;en;NEURAL NETWORKS IN SEDATION AND ANALGESIA SYSTEMS;425118
420824;en;NOVEL DIAGNOSTIC METHODS;420824
406441;en;Portable device for classification of medical data;406441
404083;en;Noise reduction for speech recognition.;404083
329690;en;A neural network incorporating direct optical imaging;329690
326071;en;NEURAL NETWORK CIRCUIT;326071
309398;en;MACHINE LEARNING;309398
302725;en;ORIGINATION/DESTINATION FEATURES AND LISTS FOR SPAM PREVENTION;302725
301653;en;Computer aided query to task mapping;301653
288474;en;Interactive artificial intelligence;288474
273084;en;An adaptive control for a refrigeration system using pulse width modulated duty cycle scroll compressor;273084
271419;en;Adaptive navigation system with artificial intelligence;271419
239992;en;NEURAL-NETWORK BASED SURROGATE MODEL CONSTRUCTION METHODS AND APPLICATIONS THEREOF;239992
165213;en;Network traffic analyzer embedded in a network interface card (NIC);165213
148844;en;Method for allocation of addresses to network users;148844
144932;en;Apparatus for the characterisation of pigmented skin lesions;144932
133082;en;Computer system for quality and/or process data measurement;133082
112358;en;HUMAN BEHAVIORAL MODELING AND SIMULATION FRAMEWORK;112358
99283;en;SYSTEM AND METHOD FOR ROUTING TASKS TO A USER IN A WORKFORCE;99283
52662;en;SYSTEM AND METHOD FOR DEVELOPING ARTIFICIAL INTELLIGENCE;52662
35457;en;METHOD AND SYSTEM FOR ADMINISTERING AN ANAESTHETIC;35457
381014;en;Method and measurement system for the control of an active charge surface in the low pressure carburizing process;381014
372347;en;REAL-TIME TRANSLATION OF TEXT, VOICE AND IDEOGRAMS;372347
369221;en;METHOD FOR ANALYZING THE OPERATION OF A GAS TURBINE;369221
344689;en;State monitoring for machines and technical equipment;344689
343635;en;A machine learning system for extracting structured records from web pages and other text sources;343635
338848;en;APPARATUS FOR CPAP USING A NEURAL NETWORK;338848
338280;en;Method and circuits for associating a norm to each component of an input pattern presented to a neural network;338280
336808;en;HANDWRITTEN OR SPOKEN WORDS RECOGNITION WITH NEURAL NETWORKS;336808
324326;en;DATA PROCESSING SYSTEM;324326
315477;en;Data processing apparatus, data processing method data processing program and computer readable medium;315477
307578;en;Storage abuse prevention;307578
288476;en;Interactive artificial intelligence;288476
207720;en;Method of calibrating pressure and temperature transducers;207720
201904;en;Fuzzy inference machine;201904
156391;en;SYSTEM AND METHOD FOR DISPLAYING TWO-DIMENSIONAL AND THREE-DIMENSIONAL GRAPHICAL MODELS OF A BUILDING;156391
149946;en;System and method for compiling rules created by machine learning program;149946
124560;en;Method for processing information in a tire pressure monitoring system;124560
75660;en;IMAGE PROCESSING USING NEURAL NETWORK;75660
65164;en;Neural network constructing method for identifying e.g. face of image, involves labeling neural network by labeling unit, where unit associates weight to neuron by embedding signature of initialization image in neural network;65164
9705;en;MECHATRONIC-BASED INVERTER;9705
1425413;en;Apparatus and method for motion detection and tracking of objects in a region for collision avoidance utilizing a real-time adaptive probabilistic neural network;1425413
1406211;en;Web-based expert system for ordering foodstuffs;1406211
1465858;en;Neural network;1465858
1513285;en;Optical vector multiplier for neural networks;1513285
1723044;en;Method and apparatus for detecting an EAS marker using a neural network processing device;1723044
1735780;en;Variable speed control of a centrifugal chiller using fuzzy logic;1735780
1779867;en;ARTIFICIAL INTELLIGENCE FOR ADAPTIVE MACHINING CONTROL OF SURFACE FINISH;1779867
313983;en;TRAINING CONVOLUTIONAL NEURAL NETWORKS ON GRAPHICS PROCESSING UNITS;313983
1855844;en;Expert system reverse auction exchange;1855844
1861124;en;Machine learning with a relational database;1861124
1863932;en;Aircraft course correction for wind and fuzzy logic course intercept profile based upon accuracy and efficiency;1863932
1878771;en;Residual activation neural network;1878771
234732;en;A method of and a device for speech recognition employing neural network and Markov model recognition techniques;234732
1981802;en;Expert system for play list generation;1981802
1989022;en;Using fuzzy logic to determine elevator car assignment utility;1989022
1992951;en;UNKNOWN RESPONSE PROCESSING IN A DIAGNOSTIC EXPERT SYSTEM;1992951
2223133;en;NEURAL NETWORKS;2223133
2226341;en;An artificial neural network based universal time series;2226341
2381215;en;A PATTERN RECOGNITION DEVICE USING AN ARTIFICIAL NEURAL NETWORK FOR CONTEXT DEPENDENT MODELLING;2381215
2685533;en;System, method, and computer program for interfacing an expert system to a clinical information system;2685533
1395285;en;A DEVELOPMENT SYSTEM FOR EXPERT SYSTEMS;1395285
1396035;en;VEHICLE DYNAMICS PREDICTION SYSTEM AND METHOD;1396035
2080299;en;CONTINUOUS BAYESIAN ESTIMATION WITH A NEURAL NETWORK ARCHITECTURE;2080299
1393619;en;SEARCH SYSTEM;1393619
1393934;en;PATIENT-VENTILATOR SYNCHRONIZATION USING DUAL PHASE SENSORS;1393934
1396008;en;METHOD OF DOCUMENT SEARCHING;1396008
353533;en;POWER SYSTEM;353533
2287650;en;Extended working range dataform reader including fuzzy logic image control circuitry;2287650
1463794;en;Automated forms publishing system and method using a rule-based expert system todynamically generate a graphical user interface;1463794
1560456;en;Liquid beverage dispensing machine including machine intelligence;1560456
1584324;en;SPARSE COMPARISON NEURAL NETWORK;1584324
1803039;en;Fire crisis management expert system;1803039
1857821;en;Computer-based neural network system and method for medical diagnosis and interpretation;1857821
1863305;en;Fuzzy logic controller;1863305
46808;en;ARTIFICIAL INTELLIGENCE SYSTEMS FOR IDENTIFYING OBJECTS;46808
1969795;en;Expert system apparatus and method;1969795
1963815;en;RELATIVE SYSTEM RESPONSE ELEVATOR DISPATCHER SYSTEM USING ARTIFICIAL INTELLIGENCE TO VARY BONUSES AND PENALTIES;1963815
1456914;en;Image processing using genetic mutation of neural network parameters;1456914
408910;en;FAST 3D INVERSION OF ELECTROMAGNETIC SURVEY DATA USING A TRAINED NEURAL NETWORK IN THE FORWARD MODELING BRANCH;408910
1538205;en;NEURAL NETWORK INCORPORATING DIFFERENCE NEURONS;1538205
435485;en;Spatial light modulator and neural network;435485
437857;en;Air/fuel ratio control apparatus that uses a neural network;437857
294261;en;Motorized system integrated control and diagnostics using vibration, pressure, temperature, speed, and/or current analysis;294261
289849;en;METHOD FOR TRAINING A NEURAL NETWORK;289849
276814;en;SYSTEM AND METHOD FOR TRANSFORMING GRAPHICAL MODELS;276814
1558644;en;Vehicle classification system using a passive audio input to a neural network;1558644
975762;en;OPTICAL VECTOR MULTIPLIER FOR NEURAL NETWORKS;975762
1396281;en;A NON-INVASIVE METHOD AND APPARATUS FOR DETERMINING ONSET OF PHYSIOLOGICAL CONDITIONS;1396281
179481;en;CONSTRUCTION AND MAINTENANCE OF SCENEGRAPHS FOR INTERACTIVE FEATURE-BASED GEOSCIENCE GRAPHICAL MODELING;179481
1584266;en;Neural processing element for use in a neural network;1584266
1396849;en;NEURAL NETWORK POST-PROCESSOR;1396849
1585887;en;Method for selecting medical and biochemical diagnostic tests using neural network-related applications;1585887
1397235;en;AN ELECTRICALLY CONTROLLED VERY HIGH VALUE FLOATING CMOS RESISTOR;1397235
1611823;en;Pattern recognition using artificial neural network for coin validation;1611823
1398271;en;METHOD OF TRAINING A NEURAL NETWORK AND A NEURAL NETWORK TRAINED ACCORDING TO THE METHOD;1398271
1399072;en;CONVERGENT CONSTRUCTION OF TRADITIONAL SCORECARDS;1399072
1411908;en;Neural networks with multi-variable/class transfer functions;1411908
1652436;en;Biometric recognition using a classification neural network;1652436
305307;en;Isolating speech signals utilizing neural networks;305307
306943;en;Automatic data view generation for a target variable;306943
258947;en;Method and apparatus for solids-based machining;258947
1865188;en;Spatial photometric neural network;1865188
422893;en;Method for noise adaptation in automatic speech recognition using transformed matrices;422893
248315;en;Method and device for classifying skin anomalies, in particular melanoma;248315
435561;en;Pattern recognition device and method;435561
209052;en;OPTIMIZATION EXPERT SYSTEM;209052
181333;en;HANDWRITING RECOGNITION USING NEURAL NETWORKS;181333
1394823;en;A GRADIENT BASED TRAINING METHOD FOR A SUPPORT VECTOR MACHINE;1394823
1398642;en;METHOD AND SYSTEM OF DATA ANALYSIS USING NEURAL NETWORKS;1398642
1583350;en;Multivariate responses using classification and regression trees systems and methods;1583350
1592474;en;Speech-recognition system utilizing neural networks and method of using same;1592474
1729382;en;Neural network system and method for controlling information output based on user feedback;1729382
1693723;en;A method and apparatus of using a neural network to train a neural network;1693723
378604;en;SYSTEM FOR DYNAMICALLY CORRECTING A THREE-DIMENSIONAL GRAPHICAL MODEL OF A BODY REGION;378604
322082;en;Liquid measuring apparatus.;322082
311703;en;System and method for learning ranking functions on data;311703
464587;en;Q-METRIC BASED SUPPORT VECTOR MACHINE;464587
466710;en;System and method for sequential decision making for customer relationship management;466710
1875706;en;A neural network with multiplexed synaptic processing;1875706
1891282;en;N-tuple or ram based neural network classification system and method;1891282
1924170;en;Neural networks;1924170
2022206;en;BATCH PROCESS CONTROL USING EXPERT SYSTEMS;2022206
1625535;en;EXPERT SYSTEM WITH PROCESS CONTROL;1625535
1630919;en;RESTORATION OF COMPUTER-TOMOGRAPHIC IMAGES WITH NEURAL NETWORKS;1630919
2114073;en;EXPERT SYSTEM APPARATUS AND METHODS;2114073
2152198;en;Neural networks for ingress monitoring;2152198
2172386;en;MEMORY MODIFICATION OF ARTIFICIAL NEURAL NETWORKS;2172386
2381415;en;Neural network device for evolving appropriate connections;2381415
1888950;en;A neural network control system for a thermal regenerative machine;1888950
1925481;en;Cutting machines using fuzzy logic controller;1925481
2172157;en;Associative neuron in an artificial neural network;2172157
116925;en;Visual information processing devices;116925
406100;en;SYSTEM AND METHOD FOR DETERMINING ACCEPTABILITY OF PROPOSED COLOR SOLUTION USING AN ARTIFICIAL INTELLIGENCE BASED TOLERANCE MODEL;406100
412916;en;A method for determining an in-focus position and a vision inspection system;412916
442239;en;OPEN INFORMATION EXTRACTION FROM THE WEB;442239
346493;en;Improvements relating to physiological monitoring;346493
1398116;en;VEHICLE NAVIGATION, COLLISION AVOIDANCE AND CONTROL SYSTEM;1398116
1450060;en;Using neural network and partial least square regression techniques in obtaining measurements of one or more polymer properties with an on-line nmr system;1450060
1544091;en;NEURAL NETWORK ARCHITECTURE;1544091
2425589;en;LASER FIBRESCOPE;2425589
1547385;en;Expert system utilizing a knowledge base and design of experiment (doe) techniques;1547385
1637347;en;Neural network for cell image analysis for identification of abnormal cells;1637347
1676373;en;Automotive service equipment expert system;1676373
1733743;en;Improved artificial digital neuron, neural network and network training algorithm;1733743
1849327;en;Digital controller redundancy using neural network fault detection;1849327
1862463;en;An autopoietic network system endowed with distributed artificial intelligence for the supply of high volume high-speed multimedia telesthesia, telemetry, telekinesis, telepresence, telemanagement, telecommunications, and data processing services;1862463
1883523;en;Current transformer saturation correction using artificial neural networks;1883523
122963;en;OBJECT DETECTION METHOD AND APPARATUS;122963
117815;en;METHOD AND APPARATUS FOR DIAGNOSING AN ALLERGY OF THE UPPER RESPIRATORY TRACT USING A NEURAL NETWORK;117815
1912517;en;ARTIFICIAL NEURAL NETWORK IMPLEMENTATION;1912517
2027083;en;Multi-kernel neural network concurrent learning, monitoring, and forecasting system;2027083
47884;en;METHOD AND APPARATUS FOR MOBILE INTELLIGENCE;47884
47216;en;SYSTEMS AND METHODS FOR PROVIDING PERSONAL VIDEO SERVICES;47216
2681650;en;Predictive routing including the use of fuzzy logic in a mobile ad hoc network;2681650
2445772;en;ANALOG MULTIPLIER;2445772
1395978;en;LIQUID BEVERAGE DISPENSING MACHINE INCLUDING MACHINE INTELLIGENCE;1395978
1445782;en;A method and system for adapting a network application based on classifying types of communication links using fuzzy logic;1445782
1463430;en;Neural network is-95 rate determination;1463430
1496461;en;Neural networks and neural memory;1496461
1542060;en;Neural network analysis for multifocal contact lens design;1542060
1597612;en;A method and a system for combining automated psychiatric profiling from combined input images of brain scans with observed expert and automated interpreter using a neural network;1597612
1605200;en;Fuzzy logic liquid level control;1605200
1612163;en;TRANSLATION OF A NEURAL NETWORK INTO A RULE-BASED EXPERT SYSTEM;1612163
1626392;en;Expert system for converting data records from a table-based format to a data tree format;1626392
1676378;en;Artificial neural network for predicting respiratory disturbances and method fordeveloping the same;1676378
1681726;en;NEURAL NETWORK-BASED SPEECH TOKEN RECOGNITION SYSTEM AND METHOD;1681726
250138;en;SELF TUNING PULL-DOWN FUZZY LOGIC TEMPERATURE CONTROL FOR REFRIGERATION SYSTEMS;250138
1720316;en;Method for estimating formation permeability from wireline logs using neural networks;1720316
1722563;en;DIAGNOSTIC EXPERT SYSTEM;1722563
1843945;en;Processing well logging data with neural network;1843945
1894753;en;Improvements in component machine testing using neural network processed vibration data analysis;1894753
4236655;en;RULE ACQUISITION FOR EXPERT SYSTEMS;4236655
122990;en;SUPERVISED RANK AGGREGATION BASED ON RANKINGS;122990
2226811;en;Artificial intelligence system for genetic analysis;2226811
2347893;en;Method for unsupervised neural network classification with back propagation;2347893
1735189;en;Bimodal liquid chromatography pump employing artificial intelligence logic feedback control;1735189
372255;en;GENERALIZED SEQUENTIAL MINIMAL OPTIMIZATION FOR SVM+ COMPUTATIONS;372255
1989096;en;Using fuzzy logic to determine the traffic mode of an elevator system;1989096
213787;en;MACHINE LEARNING FOR TRANSLITERATION;213787
2135623;en;Neural network controller for a pulsed rocket motor tactical missile system;2135623
2176265;en;DEVICE AND METHOD FOR NEURAL NETWORK BREATHING ALARM;2176265
452809;en;SYSTEM FOR CONTROL OF TERRITORY FUND BY MEANS OF ARTIFICIAL INTELLIGENCE;452809
139658;en;Method and arrangement for entering data in an electronic apparatus and an electronic apparatus;139658
456162;en;REAL-TIME FACE RECOGNITION BASED ON SUBSPACE AND LVQ CLASSIFIER;456162
2203648;en;Method and system for predicting therapeutic agent resistance and for defining the genetic basis of drug resistance using neural networks;2203648
1397567;en;SUBTHRESHOLD STIMULATION OF A COCHLEA;1397567
2235104;en;A neural network based system for equipment surveillance;2235104
1429260;en;Method and device to modify the excitability of the neural networks;1429260
1483678;en;A method of processing data flows in a neural network, and a neural network;1483678
1559650;en;Computer utilizing neural network and method of using same;1559650
1607643;en;A neural network packing;1607643
2677816;en;METHOD FOR PREDICTING PORE PRESSURE;2677816
2152391;en;Method and apparatus for analyzing a neural network within desired operating parameter constraints;2152391
1556377;en;A method and apparatus for converting text into audible signals using a neural network;1556377
4336007;en;EXPERT SYSTEM SIMULATOR FOR MODELING REALISTIC INTERNAL ENVIRONMENTS ANDPERFORMANCE;4336007
2382870;en;A routing system using a neural network;2382870
2399732;en;Self adaptive hierarchical target identification and recognition neural network;2399732
2489393;en;Voice interactive browser expert system;2489393
1696739;en;MULTI-USER, ARTIFICIAL INTELLIGENT EXPERT SYSTEM;1696739
2506778;en;Sustainability expert system for travel and tourism;2506778
2528369;en;Feature selection for neural networks;2528369
2528370;en;Neural network training;2528370
2529906;en;Computer-implemented neural network color matching formulation system;2529906
2538312;en;System and method for determining acceptability of proposed color solution using an artificial intelligence based tolerance model;2538312
2561176;en;SYSTEM AND METHOD FOR HISTORICAL DATABASE TRAINING OF SUPPORT VECTOR MACHINES;2561176
2596471;en;EXPERT SYSTEM WITH MODIFIED DECISION TABLE;2596471
4311972;en;METHOD FOR CREATING, MAINTAINING AND USING AN EXPERT SYSTEM;4311972
2711137;en;Artificial neural network guessing method and game;2711137
2759319;en;Method for training neural networks;2759319
2760005;en;Web-based expert system for educational therapy planning;2760005
4235900;en;DIGITAL SERVO-VALVE;4235900
4424598;en;EXPERT SYSTEM SUPPORTING REAL TIME CONSTRAINTS;4424598
4429263;en;NEURAL NETWORK SYSTEM USING SPECTRAL ANALYSIS FOR IDENTIFICATION OF COMPLEX ORGANIC STRUCTURES;4429263
2455161;en;COMPOUND SCREENING SYSTEM;2455161
2186506;en;Loading calculation system for a roll set using a neural network;2186506
2533158;en;IMPROVED PERFORMANCE OF ARTIFICIAL NEURAL NETWORK MODELS IN THE PRESENCE OF INSTRUMENTAL NOISE AND MEASUREMENT ERRORS;2533158
2260576;en;A development system for expert systems;2260576
2536315;en;METHOD FOR DETECTING FACE REGION USING NEURAL NETWORK;2536315
2589412;en;GRAPHICAL MODELLING SYSTEM;2589412
2673861;en;Evidence based training for graphical models;2673861
2420146;en;Method for seismic facies interpretation using textural analysis and neural networks;2420146
2425160;en;Heterogeneous neural networks;2425160
2425579;en;IMAGE PROCESSED OPTICAL TOLL GATE VOUCHER;2425579
2729562;en;Method and apparatus for expert system to track and manipulate patients;2729562
2734759;en;METHOD FOR TRANSFORMING LANGUAGE INTO A VISUAL FORM;2734759
1611864;en;Fuzzy logic-assisted traffic-responsive control system for traffic light systems;1611864
2757570;en;Expert system analysis and graphical display of privilege elevation pathways in a computing environment;2757570
122816;en;ARTIFICIAL INTELLIGENCE SYSTEM;122816
3457356;pt;sistemas de controle e de hemoinfiltra«?«ıo cont«çnua.;3457356
4259754;en;METHOD FOR OBTAINING INFORMATION IN AN EXPERT SYSTEM;4259754
4236660;en;EXPERT SYSTEM;4236660
2028808;en;Methods and apparatus for phoneme estimation using neural networks;2028808
4384179;en;EXPERT SYSTEM METHOD FOR PERFORMING WINDOW PROTOCOL-BASED DATA FLOW ANALYSIS WITHIN A DATA COMMUNICATION NETWORK;4384179
4425159;en;METHOD OF DECARBURIZING MOLTEN METAL IN THE REFINING OF STEEL USING NEURAL NETWORKS;4425159
4428301;en;METHOD AND APPARATUS FOR PATTERN CLASSIFICATION USING DISTRIBUTED ADAPTIVE FUZZY WINDOWS;4428301
4430990;en;METHOD AND APPARATUS FOR DETERMINING BLOOD PRESSURE;4430990
1660924;en;Rapidly converging projective neural network;1660924
1664954;en;A hierarchial neural network intrusion detector;1664954
